"headword"	"type"	"comment"	"number"	"verses"
"sum, esse, fui, futurus"	""	""	"1:8"	"la : Non erat ille lux, sed ut testimonium perhiberet de lumine.
en: He was not the light, but came to testify to the light."
"sum, esse, fui, futurus"	""	""	"3:8"	"la : Spiritus, ubi vult, spirat, et vocem eius audis, sed non scis unde veniat et quo vadat; sic est omnis, qui natus est ex Spiritu ”.
en: The wind blows where it wills, and you can hear the sound it makes, but you do not know where it comes from or where it goes; so it is with everyone who is born of the Spirit."
"sum, esse, fui, futurus"	""	""	"5:28"	"la : Nolite mirari hoc, quia venit hora, in qua omnes, qui in monumentis sunt, audient vocem eius;
en: Do not be amazed at this, because the hour is coming in which all who are in the tombs will hear his voice"
"sum, esse, fui, futurus"	""	""	"6:71"	"la : Dicebat autem Iudam Simonis Iscariotis; hic enim erat traditurus eum, cum esset unus ex Duodecim.
en: He was referring to Judas, son of Simon the Iscariot; it was he who would betray him, one of the Twelve."
"sum, esse, fui, futurus"	""	""	"8:26"	"la : Multa habeo de vobis loqui et iudicare; sed, qui misit me, verax est, et ego, quae audivi ab eo, haec loquor ad mundum ”.
en: I have much to say about you in condemnation. But the one who sent me is true, and what I heard from him I tell the world."
"sum, esse, fui, futurus"	""	""	"9:40"	"la : Audierunt haec ex pharisaeis, qui cum ipso erant, et dixerunt ei: “ Numquid et nos caeci sumus? ”.
en: Some of the Pharisees who were with him heard this and said to him, ""Surely we are not also blind, are we?"
"sum, esse, fui, futurus"	""	""	"11:44"	"la : Prodiit, qui fuerat mortuus, ligatus pedes et manus institis; et facies illius sudario erat ligata. Dicit Iesus eis: “ Solvite eum et sinite eum abire ”.
en: The dead man came out, tied hand and foot with burial bands, and his face was wrapped in a cloth. So Jesus said to them, ""Untie him and let him go."
"sum, esse, fui, futurus"	""	""	"13:26"	"la : Respondet Iesus: “ Ille est, cui ego intinctam buccellam porrexero ”. Cum ergo intinxisset buccellam, dat Iudae Simonis Iscariotis.
en: Jesus answered, ""It is the one to whom I hand the morsel after I have dipped it."" So he dipped the morsel and (took it and) handed it to Judas, son of Simon the Iscariot."
"sum, esse, fui, futurus"	""	""	"16:32"	"la : Ecce venit hora et iam venit, ut dispergamini unusquisque in propria et me solum relinquatis; et non sum solus, quia Pater mecum est.
en: Behold, the hour is coming and has arrived when each of you will be scattered to his own home and you will leave me alone. But I am not alone, because the Father is with me."
"sum, esse, fui, futurus"	""	""	"18:40"	"la : Clamaverunt ergo rursum dicentes: “ Non hunc sed Barabbam! ”. Erat autem Barabbas latro.
en: They cried out again, ""Not this one but Barabbas!"" Now Barabbas was a revolutionary."
"dico, dicere, dixi, dictus"	""	""	"1:33"	"la : et ego nesciebam eum, sed, qui misit me baptizare in aqua, ille mihi dixit: “Super quem videris Spiritum descendentem et manentem super eum, hic est qui baptizat in Spiritu Sancto”.
en: I did not know him, but the one who sent me to baptize with water told me, 'On whomever you see the Spirit come down and remain, he is the one who will baptize with the holy Spirit.'"
"dico, dicere, dixi, dictus"	""	""	"4:5"	"la : Venit ergo in civitatem Samariae, quae dicitur Sichar, iuxta praedium, quod dedit Iacob Ioseph filio suo;
en: So he came to a town of Samaria called Sychar, near the plot of land that Jacob had given to his son Joseph."
"dico, dicere, dixi, dictus"	""	""	"5:18"	"la : Propterea ergo magis quaerebant eum Iudaei interficere, quia non solum solvebat sabbatum, sed et Patrem suum dicebat Deum, aequalem se faciens Deo.
en: For this reason the Jews tried all the more to kill him, because he not only broke the sabbath but he also called God his own father, making himself equal to God."
"dico, dicere, dixi, dictus"	""	""	"7:15"	"la : Mirabantur ergo Iudaei dicentes: “ Quomodo hic litteras scit, cum non didicerit? ”.
en: The Jews were amazed and said, ""How does he know scripture without having studied?"
"dico, dicere, dixi, dictus"	""	""	"8:33"	"la : Responderunt ei: “ Semen Abrahae sumus et nemini servivimus umquam! Quomodo tu dicis: “Liberi fietis”? ”.
en: They answered him, ""We are descendants of Abraham and have never been enslaved to anyone. How can you say, 'You will become free'?"
"dico, dicere, dixi, dictus"	""	""	"9:37"	"la : Dixit ei Iesus: “ Et vidisti eum; et, qui loquitur tecum, ipse est ”.
en: Jesus said to him, ""You have seen him and the one speaking with you is he."
"dico, dicere, dixi, dictus"	""	""	"11:46"	"la : quidam autem ex ipsis abierunt ad pharisaeos et dixerunt eis, quae fecit Iesus.
en: But some of them went to the Pharisees and told them what Jesus had done."
"dico, dicere, dixi, dictus"	""	""	"13:21"	"la : Cum haec dixisset Iesus, turbatus est spiritu et protestatus est et dixit: “ Amen, amen dico vobis: Unus ex vobis tradet me ”.
en: When he had said this, Jesus was deeply troubled and testified, ""Amen, amen, I say to you, one of you will betray me."
"dico, dicere, dixi, dictus"	""	""	"18:1"	"la : Haec cum dixisset Iesus, egressus est cum discipulis suis trans torrentem Cedron, ubi erat hortus, in quem introivit ipse et discipuli eius.
en: When he had said this, Jesus went out with his disciples across the Kidron valley to where there was a garden, into which he and his disciples entered."
"dico, dicere, dixi, dictus"	""	""	"19:28"	"la : Post hoc sciens Iesus quia iam omnia consummata sunt, ut consummaretur Scriptura, dicit: “ Sitio ”.
en: After this, aware that everything was now finished, in order that the scripture might be fulfilled, Jesus said, ""I thirst."
"Jesus, Jesu"	""	""	"1:38"	"la : Conversus autem Iesus et videns eos sequentes se dicit eis: “ Quid quaeritis? ”. Qui dixerunt ei: “ Rabbi — quod dicitur interpretatum Magister — ubi manes? ”.
en: Jesus turned and saw them following him and said to them, ""What are you looking for?"" They said to him, ""Rabbi"" (which translated means Teacher), ""where are you staying?"
