"headword"	"pos"	"count"	"%"	"words"
"et"	"CONJ"	874	6.3	"et"
"is, ea, id"	"PRON"	665	4.8	"eum; ei; eius; eis; eo; eos; eam; eorum; ea; eas; id; is"
"sum, esse, fui, futurus"	"V"	634	4.5	"est; erat; sum; sunt; es; esset; erant; estis; fuerit; sit; fuerat; sint; sumus; essent; erit; esse; essetis; eram; essem; esses; fuerant; fuisses; fuit; sim; sis; eritis; ero; erunt; fores; fuerint; fuero; fuissem; fuisset"
"dico, dicere, dixi, dictus"	"V"	473	3.4	"dicit; dixit; dixerunt; dico; dicebant; dixi; dixisset; dicebat; dicitur; dicens; dicentes; dicis; dicunt; dicitis; dic; dicam; diceret; dixerim; dixerit; dixero; dixisti; dicere; dicimus; dicito; dixerat; dixissem"
"ego, mei"	"PRON"	430	3.1	"me; ego; mihi; mei"
"qui, quae, quod"	"PRON"	413	3.0	"qui; quae; quem; quod; quo; quam; qua; cuius; quos; cui; quorum"
"in"	"PREP"	383	2.7	"in"
"non"	"ADV"	304	2.2	"non"
"vos, vostri, vostrum"	"PRON"	248	1.8	"vobis; vos; vestrum; vestri"
"Jesus, Jesu"	"N"	242	1.7	"iesus; iesum; iesu"
"hic, haec, hoc"	"PRON"	227	1.6	"haec; hoc; hic; his; hunc; hi; hos; huius; hac; huic; hanc; horum; huiusmodi"
"quia"	"CONJ"	219	1.6	"quia"
"autem"	"CONJ"	198	1.4	"autem"
"ergo"	"ADV"	189	1.4	"ergo"
"venio, venire, veni, ventus"	"V"	168	1.2	"venit; veni; venerunt; venerit; venire; venerat; venio; venerant; veniebant; veniam; venientem; veniet; venisset; venisti; venite; veniat; venissent; ventura; venturus; veniebat; veniemus; veniens; venient; venimus; venissem; veniunt; vento; venturi"
"ut"	"CONJ"	161	1.2	"ut"
"facio, facere, feci, factus"	"V"	141	1.0	"fecit; facit; facere; facta; facio; facis; factum; feci; faciam; factus; fecerunt; faciebat; facient; faciet; facitis; faciat; faciemus; facite; factae; fecerat; fecisset; fac; facerent; faceretis; faciatis; faciens; facientem; facies; facimus; factam; facto; facturus; fecerant; fecerim; feceritis; fecisse; fecissem; fecisti"
"pater, patris"	"N"	136	1.0	"pater; patrem; patre; patris; patres; patribus"
"cum"	"ADV"	134	1.0	"cum"
"tu, tui"	"PRON"	134	1.0	"tu; te; tibi; tui"
"ad"	"PREP"	130	0.9	"ad"
"ille, illa, illud"	"PRON"	130	0.9	"ille; illo; illi; illum; illa; illius; illud; illam; illis; illae; illas; illos"
"de"	"PREP"	118	0.8	"de"
"meus, mea, meum"	"ADJ"	118	0.8	"meum; mea; meus; meam; meo; meos; meas; meae; meis"
"video, videre, vidi, visus"	"V"	118	0.8	"videt; vidit; vidi; vidisset; videtis; videbitis; vide; videant; vident; viderunt; vidissent; vidistis; videns; video; vidimus; vidisti; videbant; videbis; videbit; videre; videritis; videte; videamus; videat; videbo; videbunt; videmus; videntes; viderant; viderat; viderent; videret; videris; viderit; videro; videtur; viso"
"sed"	"CONJ"	104	0.7	"sed"
"credo, credere, credidi, creditus"	"V"	98	0.7	"credit; crediderunt; creditis; credatis; credidit; credite; credere; credis; credebant; credetis; credunt; credam; credentes; crederetis; credimus; credamus; credant; credat; crede; credebat; credent; crederent; crediderant; credideris; credideritis; credidi; credidimus; credidisti; credidistis; credituri; credo"
"ipse, ipsa, ipsum"	"PRON"	90	0.6	"ipse; ipso; ipsum; ipsis; ipsi; ipsa; ipsos"
"quis, quae, quid"	"PRON"	90	0.6	"quid; quis"
"ex"	"PREP"	88	0.6	"ex"
"si"	"CONJ"	88	0.6	"si"
"habeo, habere, habui, habitus"	"V"	86	0.6	"habet; habeo; habetis; habes; habens; habeant; habeat; habeatis; habemus; habent; habere; haberent; habuit; habebam; habebat; habebit; habentem; habentis; haberes; haberetis; habuerit; habueritis; habuerunt; habuisti"
"Deus, Dei"	"N"	83	0.6	"dei; deo; deus; deum; deos"
"mundus, mundi"	"N"	82	0.6	"mundo; mundum; mundus; mundi"
"respondeo, respondere, respondi, responsus"	"V"	80	0.6	"respondit; responderunt; respondet; responsum; respondes"
"discipulus, discipuli"	"N"	78	0.6	"discipuli; discipulis; discipulus; discipulorum; discipulum; discipulo; discipulos"
"mitto, mittere, misi, missus"	"V"	77	0.6	"misit; misisti; miserunt; missus; mittam; misi; mittat; mitte; misisset; misistis; missi; mittebantur; mittet; mittit; mittite; mitto; mittunt"
"do, dare, dedi, datus"	"V"	76	0.5	"dedit; dedisti; dat; da; dabit; datum; dedi; do; dabo; daret; det; dabant; dare; data; dederant; dederat; dedisset; demus"
"Judaeus, Judaei"	"N"	70	0.5	"iudaei; iudaeorum; iudaeis; iudaeos; iudaeus; iudaeo"
"a"	"PREP"	68	0.5	"a"
"omnis, omnis, omne"	"ADJ"	66	0.5	"omnes; omnia; omnis; omne; omnem; omnibus"
"scio, scire, scivi, scitus"	"V"	66	0.5	"scio; scimus; scitis; sciebat; sciens; scis; sciebant; scit; sciretis; sciunt; sciatis; sciebam; scientes; scies; scire; scires; scitote; scivit"
"enim"	"CONJ"	61	0.4	"enim"
"loquor, loqui, locutus sum"	"V"	60	0.4	"locutus; loquor; loquitur; loquar; loquebatur; loqueris; loquetur; loquente; loquentem; loqui; loquimur"
"filius, fili"	"N"	59	0.4	"filius; filium; filii; filio; filios"
"homo, hominis"	"N"	59	0.4	"homo; hominis; hominem; homine; homines; hominibus; hominum"
"audio, audire, audivi, auditus"	"V"	58	0.4	"audierunt; audivit; audit; audisset; audient; audire; audistis; auditis; audivi; audientes; audierit; audis; audissent; audiunt; audivimus; audiens; audierant; audierat; audierint; audiet; audio; audisti; auditum; audivistis"
"dominus, domini"	"N"	52	0.4	"domine; dominus; dominum; domino; domini"
"dies, diei"	"N"	51	0.4	"die; diem; dies; diebus; diei; dii"
"amen"	"ADV"	50	0.4	"amen"
"cognosco, cognoscere, cognovi, cognitus"	"V"	45	0.3	"cognoverunt; cognovit; cognoscetis; cognoscitis; cognosco; cognoscat; cognoscatis; cognoscit; cognoverit; cognovi; cognovimus; cognovisset; cognovistis; cognoscant; cognoscent; cognoscet; cognoscis; cognoscunt; cognovisti"
"accipio, accipere, accepi, acceptus"	"V"	43	0.3	"accipit; acceperunt; accepisset; accepit; accipere; accipite; accipitis; accipietis; accipio; accepi; accepimus; accepturi; accipiam; accipiat; accipiet"
"iterum"	"ADV"	43	0.3	"iterum"
"qu"	"PACK"	43	0.3	"quidam; quidquam; quaecumque; quemquam; quodcumque; quisquam; nequaquam; quamquam; quisnam; quoque"
"testimonium, testimoni(i)"	"N"	43	0.3	"testimonium"
"nos, nostri, nostrum"	"PRON"	41	0.3	"nos; nobis; nostri; nostrum"
"diligo, diligere, dilexi, dilectus"	"V"	39	0.3	"diligit; diligebat; dilexisti; diligatis; dilexi; dilexit; dilexerunt; diligeretis; diligis; dilexisset; diligam; diligeret; diliget; diligetur; diligitis; diligo"
"maneo, manere, mansi, mansus"	"V"	38	0.3	"manet; mansit; maneat; manens; manseritis; manere; maneret; manete; manserit; manserunt; manebitis; manentem; maneo; manes; manserint"
"possum, posse, potui, -"	"V"	38	0.3	"potest; potestis; possum; poterat; possent; possumus; possunt; poterant; potes"
"vita, vitae"	"N"	38	0.3	"vitam; vita; vitae; vitis"
"morior, mori, mortuus sum"	"V"	36	0.3	"mortuus; mortuis; mortui; mori; moriatur; moriemini; mortuum; moritur; moreretur; moriamur; morietur; mortuos"
"unus -a -um, primus -a -um, singuli -ae -a, semel"	"NUM"	36	0.3	"unus; unum; una"
"scribo, scribere, scripsi, scriptus"	"V"	35	0.3	"scriptura; scriptum; scripsit; scripta; scribebat; scripsi; scribantur; scribendi; scribere; scripturae; scripturam; scripturas; scriptus"
"Petrus, Petri"	"N"	34	0.2	"petrus; petro; petri; petrum"
"multus, multa -um, -, plurimus -a -um"	"ADJ"	34	0.2	"multi; multa; multum; multae; multis; multo; multus"
"quaero, quaerere, quaesivi, quaesitus"	"V"	34	0.2	"quaeritis; quaerebant; quaerit; quaeretis; quaeris; quaero; quaerebat; quaerentes; quaerunt"
"tuus, tua, tuum"	"ADJ"	34	0.2	"tuum; tuus; tua; tuam; tuo; tuos; tuae; tuas"
"ubi"	"CONJ"	34	0.2	"ubi"
"alius, alia, aliud"	"ADJ"	33	0.2	"alii; alius; alia; alium; aliae; alias; alios"
"verus, vera -um, verior -or -us, verissimus -a -um"	"ADJ"	33	0.2	"verum; vere; vero; vera; verus; veri"
"jam"	"ADV"	32	0.2	"iam"
"sicut"	"ADV"	32	0.2	"sicut"
"sermo, sermonis"	"N"	31	0.2	"sermo; sermonem; sermones; sermoni; sermone; sermonis"
"opus, operis"	"N"	30	0.2	"opera; opus; opere; operibus"
