"word"	"headword"	"pos"	"meaning"
"a"	"a"	"PREP"	"by (agent), from (departure, cause, remote origin/time)"
"ab"	"ab"	"PREP"	"by (agent), from (departure, cause, remote origin/time)"
"abibant"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abierant"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abiero"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abierunt"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abii"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abiissent"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abiit"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abire"	"abeo, abire, abivi(ii), abitus"	"V"	"depart, go away"
"abrahae"	"Abraham, Abrahae"	"N"	"Abraham"
"abraham"	"Abraham, Abrahae"	"N"	"Abraham"
"abs"	"abs"	"PREP"	"by (agent), from (departure, cause, remote origin (time)"
"abscidit"	"abscido, abscidere, abscidi, abscisus"	"V"	"hew/cut off/away/out"
"abscondit"	"abscondo, abscondere, abscondi, absconditus"	"V"	"hide, conceal, secrete, ""shelter"""
"absque"	"abs"	"PREP"	"by (agent), from (departure, cause, remote origin (time)"
"abundantius"	"abundans, abundantis (gen.), abundantior -or -us, abundantissimus -a -um"	"ADJ"	"abundant"
"acceperunt"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accepi"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accepimus"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accepisset"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accepit"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accepturi"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accesserunt"	"accedo, accedere, accessi, accessus"	"V"	"come near, approach"
"accipere"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipiam"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipiat"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipiet"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipietis"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipio"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipit"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipite"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accipitis"	"accipio, accipere, accepi, acceptus"	"V"	"take, grasp, receive, accept, undertake"
"accusare"	"accuso, accusare, accusavi, accusatus"	"V"	"accuse, blame, find fault, impugn"
"accusationem"	"accusatio, accusationis"	"N"	"accusation, inditement"
"accusaturus"	"accuso, accusare, accusavi, accusatus"	"V"	"accuse, blame, find fault, impugn"
"accuset"	"accuso, accusare, accusavi, accusatus"	"V"	"accuse, blame, find fault, impugn"
"aceto"	"acetum, aceti"	"N"	"vinegar, sour wine"
"acetum"	"acetum, aceti"	"N"	"vinegar, sour wine"
"ad"	"ad"	"PREP"	"to, up to, towards"
"adducere"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adduco"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adducunt"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adduxerunt"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adduxistis"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adduxit"	"adduco, adducere, adduxi, adductus"	"V"	"lead up/to/away"
"adest"	"adsum, adesse, adfui, adfuturus"	"V"	"be near, be present, be in attendance, arrive, appear"
"adhuc"	"adhuc"	"ADV"	"thus far, till now, to this point"
"adorabitis"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adorabunt"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adoramus"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adorant"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adorare"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adorarent"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adoratis"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adoratores"	"adorator, adoratoris"	"N"	"worshipper, adorer, one who worships/prays/reverences"
"adoraverunt"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adoravit"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adorent"	"adoro, adorare, adoravi, adoratus"	"V"	"honor, adore, worship, pay homage, reverence"
"adulterio"	"adulterium, adulteri(i)"	"N"	"adultery"
"advenerit"	"advenio, advenire, adveni, adventus"	"V"	"come to, arrive"
"adveniebant"	"advenio, advenire, adveni, adventus"	"V"	"come to, arrive"
"adversum"	"adversus, adversa -um, adversior -or -us, adversissimus -a -um"	"ADJ"	"opposite, directly facing, ranged against"
"adversus"	"adversus, adversa -um, adversior -or -us, adversissimus -a -um"	"ADJ"	"opposite, directly facing, ranged against"
"aedificatum"	"aedifico, aedificare, aedificavi, aedificatus"	"V"	"build, erect, construct, make"
"aequalem"	"aequalis, aequale, aequalior -or -us, aequalissimus -a -um"	"ADJ"	"equal, similar"
"aes"	"aes, aeris"	"N"	"money, pay, fee, fare"
"aetatem"	"aetas, aetatis"	"N"	"lifetime, age, generation"
"aeterna"	"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	"eternal/everlasting/imperishable"
"aeternae"	"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	"eternal/everlasting/imperishable"
"aeternam"	"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	"eternal/everlasting/imperishable"
"aeternum"	"aeternus, aeterna -um, aeternior -or -us, aeternissimus -a -um"	"ADJ"	"eternal/everlasting/imperishable"
"affer"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"afferat"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"afferatis"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"affert"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"afferte"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"affertis"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"agente"	"ago, agere, egi, actus"	"V"	"drive/urge/conduct/act"
"agit"	"ago, agere, egi, actus"	"V"	"drive/urge/conduct/act"
"agnos"	"agnus, agni"	"N"	"lamb"
"agnus"	"agnus, agni"	"N"	"lamb"
"ago"	"ago, agere, egi, actus"	"V"	"drive/urge/conduct/act"
"agricola"	"agricola, agricolae"	"N"	"farmer, cultivator, gardener, agriculturist"
"ait"	"aio, -, -"	"V"	"say (defective), assert"
"alapam"	"alapa, alapae"	"N"	"blow (with the flat of the hand), slap, smack"
"alapas"	"alapa, alapae"	"N"	"blow (with the flat of the hand), slap, smack"
"albae"	"albus, alba -um, albior -or -us, albissimus -a -um"	"ADJ"	"white, pale, fair, hoary, gray"
"albis"	"albus, alba -um, albior -or -us, albissimus -a -um"	"ADJ"	"white, pale, fair, hoary, gray"
"alia"	"alius, alia, aliud"	"ADJ"	"other, another"
"aliae"	"alius, alia, aliud"	"ADJ"	"other, another"
"alias"	"alius, alia, aliud"	"ADJ"	"other, another"
"alienorum"	"alienus, aliena -um, alienior -or -us, alienissimus -a -um"	"ADJ"	"foreign"
"alienum"	"alienus, aliena -um, alienior -or -us, alienissimus -a -um"	"ADJ"	"foreign"
"alii"	"alius, alia, aliud"	"ADJ"	"other, another"
"alioquin"	"alioquin"	"ADV"	"otherwise, in other/some respects"
"alios"	"alius, alia, aliud"	"ADJ"	"other, another"
"aliquid"	"aliquis, aliqua, aliquid"	"PRON"	"anyone/anybody/anything"
"aliquis"	"aliquis, aliqua, aliquid"	"PRON"	"anyone/anybody/anything"
"alium"	"alius, alia, aliud"	"ADJ"	"other, another"
"aliunde"	"aliunde"	"ADV"	"from another person/place, from elsewhere/a different source/cause/material"
"alius"	"alius, alia, aliud"	"ADJ"	"other, another"
"aloes"	"aloe, aloes"	"N"	"aloe plant (Aloe vera)"
"alter"	"alter, altera, alterum"	"ADJ"	"one (of two)"
"altera"	"alter, altera, alterum"	"ADJ"	"one (of two)"
"alterius"	"alter, altera, alterum"	"ADJ"	"one (of two)"
"altus"	"alo, alere, alui, altus"	"V"	"feed, nourish, rear, nurse, suckle"
"amabat"	"amo, amare, amavi, amatus"	"V"	"love, like"
"amas"	"amo, amare, amavi, amatus"	"V"	"love, like"
"amastis"	"amo, amare, amavi, amatus"	"V"	"love, like"
"amat"	"amo, amare, amavi, amatus"	"V"	"love, like"
"ambula"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulabant"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulabas"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulabat"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulabit"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulantem"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulare"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulat"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulate"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"ambulaverit"	"ambulo, ambulare, ambulavi, ambulatus"	"V"	"walk, take a walk, go on foot"
"amen"	"amen"	"ADV"	"amen"
"amici"	"amicus, amica -um, amicior -or -us, amicissimus -a -um"	"ADJ"	"friendly, dear, fond of"
"amicis"	"amicus, amica -um, amicior -or -us, amicissimus -a -um"	"ADJ"	"friendly, dear, fond of"
"amicos"	"amicus, amica -um, amicior -or -us, amicissimus -a -um"	"ADJ"	"friendly, dear, fond of"
"amicus"	"amicus, amica -um, amicior -or -us, amicissimus -a -um"	"ADJ"	"friendly, dear, fond of"
"amo"	"amo, amare, amavi, amatus"	"V"	"love, like"
"amodo"	"amodo"	"ADV"	"henceforth, from this time forward"
"amplius"	"amplus, ampla -um, amplior -or -us, amplissimus -a -um"	"ADJ"	"great, large, spacious, wide, ample"
"an"	"an"	"CONJ"	"can it be that (introduces question expecting negative answer/further question)"
"ancilla"	"ancilla, ancillae"	"N"	"slave girl"
"andreae"	"Andreas, Andreae"	"N"	"Andrew"
"andreas"	"Andreas, Andreae"	"N"	"Andrew"
"angelos"	"angelus, angeli"	"N"	"angel"
"angelus"	"angelus, angeli"	"N"	"angel"
"anima"	"anima, animae"	"N"	"soul, spirit, vital principle"
"animam"	"anima, animae"	"N"	"soul, spirit, vital principle"
"annam"	"Annas, Annae"	"N"	"Annas, father-in-law of Caiaphas"
"annas"	"anno, annare, annavi, annatus"	"V"	"swim to/towards, approach by swimming"
"anni"	"annus, anni"	"N"	"year (astronomical/civil)"
"annis"	"annus, anni"	"N"	"year (astronomical/civil)"
"annos"	"annus, anni"	"N"	"year (astronomical/civil)"
"annuntiabit"	"annuntio, annuntiare, annuntiavi, annuntiatus"	"V"	"announce, say, make known"
"annuntiabo"	"annuntio, annuntiare, annuntiavi, annuntiatus"	"V"	"announce, say, make known"
"annuntians"	"annuntio, annuntiare, annuntiavi, annuntiatus"	"V"	"announce, say, make known"
"ante"	"ante"	"PREP"	"in front/presence of, in view"
"antea"	"antea"	"ADV"	"before, before this"
"antequam"	"antequam"	"CONJ"	"before, sooner than"
"aperire"	"aperio, aperire, aperui, apertus"	"V"	"uncover, open, disclose"
"aperit"	"aperio, aperire, aperui, apertus"	"V"	"uncover, open, disclose"
"aperti"	"aperio, aperire, aperui, apertus"	"V"	"uncover, open, disclose"
"apertum"	"aperio, aperire, aperui, apertus"	"V"	"uncover, open, disclose"
"aperuit"	"aperio, aperire, aperui, apertus"	"V"	"uncover, open, disclose"
"apostolus"	"apostolus, apostoli"	"N"	"apostle"
"apprehendant"	"apprehendo, apprehendere, apprehendi, apprehensus"	"V"	"seize (upon), grasp, cling to, lay hold of"
"apprehendere"	"apprehendo, apprehendere, apprehendi, apprehensus"	"V"	"seize (upon), grasp, cling to, lay hold of"
"apprehenderent"	"apprehendo, apprehendere, apprehendi, apprehensus"	"V"	"seize (upon), grasp, cling to, lay hold of"
"apprehendit"	"apprehendo, apprehendere, apprehendi, apprehensus"	"V"	"seize (upon), grasp, cling to, lay hold of"
"apud"	"apud"	"PREP"	"at, by, near, among"
"aqua"	"aqua, aquae"	"N"	"water"
"aquae"	"aqua, aquae"	"N"	"water"
"aquam"	"aqua, aquae"	"N"	"water"
"arbitretur"	"arbitror, arbitrari, arbitratus sum"	"V"	"observe, witness"
"arbitror"	"arbitror, arbitrari, arbitratus sum"	"V"	"observe, witness"
"architriclino"	"architriclinus, architriclini"	"N"	"one who presides at table"
"architriclinus"	"architriclinus, architriclini"	"N"	"one who presides at table"
"ardens"	"ardeo, ardere, arsi, arsus"	"V"	"be on fire"
"ardent"	"ardeo, ardere, arsi, arsus"	"V"	"be on fire"
"arguantur"	"arguo, arguere, argui, argutus"	"V"	"prove, argue, allege"
"arguet"	"arguo, arguere, argui, argutus"	"V"	"prove, argue, allege"
"arguit"	"arguo, arguere, argui, argutus"	"V"	"prove, argue, allege"
"aridorum"	"aridus, arida -um, aridior -or -us, aridissimus -a -um"	"ADJ"	"dry, arid, parched"
"arimathaea"	"Arimathaea (Arimathia), Arimathaeae"	"N"	"Arimathea, a city in Palestine"
"armis"	"armum, armi"	"N"	"arms (pl.), weapons, armor, shield"
"aromatibus"	"aroma, aromatis"	"N"	"spice, aromatic substance"
"aruit"	"areo, arere, arui, -"	"V"	"be dry/parched"
"ascendentem"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendentes"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascenderant"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascenderunt"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendi"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendissent"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendit"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendite"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"ascendo"	"ascendo, ascendere, ascendi, ascensus"	"V"	"climb"
"asellum"	"asellus, aselli"	"N"	"(small/young) ass, donkey"
"asinae"	"asinus, asina, asinum"	"ADJ"	"of/connected with an ass/donkey, ass's"
"aspiciebant"	"aspicio, aspicere, aspexi, aspectus"	"V"	"look/gaze on/at, see, observe, behold, regard"
"assistens"	"assisto, assistere, asstiti, asstatus"	"V"	"take position/stand (near/by), attend"
"at"	"at"	"CONJ"	"but, but on the other hand"
"atrium"	"atrium, atri(i)"	"N"	"atrium, reception hall in a Roman house"
"attulit"	"affero, afferre, attuli, allatus"	"V"	"bring to (word/food), carry, convey"
"audebat"	"audeo, audere, ausus sum"	"V"	"intend, be prepared"
"audiens"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audient"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audientes"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audierant"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audierat"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audierint"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audierit"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audierunt"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audiet"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audio"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audire"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audis"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audissent"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audisset"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audisti"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audistis"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audit"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"auditis"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"auditui"	"auditus, auditus"	"N"	"hearing"
"auditum"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audiunt"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audivi"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audivimus"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audivistis"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"audivit"	"audio, audire, audivi, auditus"	"V"	"hear, listen, accept, agree with"
"auferte"	"aufero, auferre, abstuli, ablatus"	"V"	"bear/carry/take/fetch/sweep/snatch away/off, remove, withdraw"
"auriculam"	"auricula, auriculae"	"N"	"ear (part of body/organ of hearing)"
"aut"	"aut"	"CONJ"	"or, or rather/else"
"autem"	"autem"	"CONJ"	"but (postpositive), on the other hand/contrary"
"ave"	"avus, avi"	"N"	"grandfather"
"baiulans"	"bajulo, bajulare, -, -"	"V"	"carry, bear (load)"
"baptizabantur"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizabat"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizans"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizare"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizaret"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizas"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizat"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"baptizo"	"baptizo, baptizare, baptizavi, baptizatus"	"V"	"baptize"
"barabbam"	"Barabbas, Barabbae"	"N"	"Barabbas"
"barabbas"	"Barabbas, Barabbae"	"N"	"Barabbas"
"beati"	"beatus, beata -um, beatior -or -us, beatissimus -a -um"	"ADJ"	"happy, fortunate, bringing happiness"
"bene"	"bene, melius, optime"	"ADV"	"well, very, quite, rightly, agreeably, cheaply, in good style"
"benedictus"	"benedico, benedicere, benedixi, benedictus"	"V"	"bless"
"bethania"	"Bethania, Bethaniae"	"N"	"Bethany, a city in Judea"
"bethaniam"	"Bethania, Bethaniae"	"N"	"Bethany, a city in Judea"
"bethlehem"	"Bethlehem"	"N"	"Bethlehem, a city in Judea"
"bethsaida"	"Bethsaida, Bethsaidae"	"N"	"Bethsaida, a city in Galilee"
"bethsatha"	"Bethsatha, Bethsathae"	"N"	"Bethesda, a pool of water in Jerusalem"
"bibam"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"bibat"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"bibere"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"biberit"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"biberitis"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"bibit"	"bibo, bibere, bibi, bibitus"	"V"	"drink"
"binas"	"duo -ae o, secundus -a -um, bini -ae -a, bis"	"NUM"	" 2 each/apiece/times/fold/together/at a time - 'how many each'"
"blasphemas"	"blasphemus, blasphema, blasphemum"	"ADJ"	"reviling, defaming"
"blasphemia"	"blasphemia, blasphemiae"	"N"	"blasphemy (against God)"
