"#"	"headword"	"pos"	"count"	"%"	"words"
1	"sum, esse, fui, futurus"	"V"	634	4.5	"est; erat; sum; sunt; es; esset; erant; estis; fuerit; sit; fuerat; sint; sumus; essent; erit; esse; essetis; eram; essem; esses; fuerant; fuisses; fuit; sim; sis; eritis; ero; erunt; fores; fuerint; fuero; fuissem; fuisset"
2	"dico, dicere, dixi, dictus"	"V"	473	3.4	"dicit; dixit; dixerunt; dico; dicebant; dixi; dixisset; dicebat; dicitur; dicens; dicentes; dicis; dicunt; dicitis; dic; dicam; diceret; dixerim; dixerit; dixero; dixisti; dicere; dicimus; dicito; dixerat; dixissem"
3	"Jesus, Jesu"	"N"	242	1.7	"iesus; iesum; iesu"
4	"venio, venire, veni, ventus"	"V"	168	1.2	"venit; veni; venerunt; venerit; venire; venerat; venio; venerant; veniebant; veniam; venientem; veniet; venisset; venisti; venite; veniat; venissent; ventura; venturus; veniebat; veniemus; veniens; venient; venimus; venissem; veniunt; vento; venturi"
5	"facio, facere, feci, factus"	"V"	141	1.0	"fecit; facit; facere; facta; facio; facis; factum; feci; faciam; factus; fecerunt; faciebat; facient; faciet; facitis; faciat; faciemus; facite; factae; fecerat; fecisset; fac; facerent; faceretis; faciatis; faciens; facientem; facies; facimus; factam; facto; facturus; fecerant; fecerim; feceritis; fecisse; fecissem; fecisti"
6	"pater, patris"	"N"	136	1.0	"pater; patrem; patre; patris; patres; patribus"
7	"meus, mea, meum"	"ADJ"	118	0.8	"meum; mea; meus; meam; meo; meos; meas; meae; meis"
8	"video, videre, vidi, visus"	"V"	118	0.8	"videt; vidit; vidi; vidisset; videtis; videbitis; vide; videant; vident; viderunt; vidissent; vidistis; videns; video; vidimus; vidisti; videbant; videbis; videbit; videre; videritis; videte; videamus; videat; videbo; videbunt; videmus; videntes; viderant; viderat; viderent; videret; videris; viderit; videro; videtur; viso"
9	"credo, credere, credidi, creditus"	"V"	98	0.7	"credit; crediderunt; creditis; credatis; credidit; credite; credere; credis; credebant; credetis; credunt; credam; credentes; crederetis; credimus; credamus; credant; credat; crede; credebat; credent; crederent; crediderant; credideris; credideritis; credidi; credidimus; credidisti; credidistis; credituri; credo"
10	"habeo, habere, habui, habitus"	"V"	86	0.6	"habet; habeo; habetis; habes; habens; habeant; habeat; habeatis; habemus; habent; habere; haberent; habuit; habebam; habebat; habebit; habentem; habentis; haberes; haberetis; habuerit; habueritis; habuerunt; habuisti"
